timestamp (YYYY.MM.DD-HH.MM.SS),event,time (seconds),time (formatted),file name,file path
2014.08.14-20.27.28,save,2137,00:35:37,ebee3d_47.blend,C:\Art\Ebee3d\ebee3d_47.blend
2014.08.14-20.57.17,save,1788,00:29:48,ebee3d_47.blend,C:\Art\Ebee3d\ebee3d_47.blend
2014.08.14-21.02.07,save,290,00:04:50,ebee3d_47.blend,C:\Art\Ebee3d\ebee3d_47.blend
2014.08.15-02.28.12,load,0,00:00:00,,
2014.08.15-12.57.04,load,37732,10:28:52,ebee3d_47.blend,C:\Art\Ebee3d\ebee3d_47.blend
2014.08.15-13.46.17,save,2953,00:49:13,ebee3d_48.blend,C:\Art\Ebee3d\ebee3d_48.blend
2014.08.15-13.50.34,save,256,00:04:16,ebee3d_48.blend,C:\Art\Ebee3d\ebee3d_48.blend
2014.08.15-13.55.22,save,287,00:04:47,ebee3d_48.blend,C:\Art\Ebee3d\ebee3d_48.blend
2014.08.15-13.56.12,save,50,00:00:50,ebee3d_48.blend,C:\Art\Ebee3d\ebee3d_48.blend
2014.08.15-13.59.14,load,0,00:00:00,,
2014.08.15-13.59.20,load,6,00:00:06,ebee3d_48.blend,C:\Art\Ebee3d\ebee3d_48.blend
2014.08.15-14.02.00,save,159,00:02:39,ebee3d_48.blend,C:\Art\Ebee3d\ebee3d_48.blend
2014.08.15-14.02.54,save,53,00:00:53,ebee3d_48.blend,C:\Art\Ebee3d\ebee3d_48.blend
2014.08.16-21.29.59,save,26825,07:27:05,ebee3d_48.blend,C:\Art\Ebee3d\ebee3d_48.blend
2014.08.16-23.36.41,load,0,00:00:00,,
2014.08.16-23.36.45,load,4,00:00:04,ebee3d_48.blend,C:\Art\Ebee3d\ebee3d_48.blend
2014.08.18-11.23.34,save,42408,11:46:48,ebee3d_48.blend,C:\Art\Ebee3d\ebee3d_48.blend
2014.08.18-14.58.01,save,12867,03:34:27,ebee3d_48.blend,C:\Art\Ebee3d\ebee3d_48.blend
2014.08.18-15.03.48,save,346,00:05:46,ebee3d_49.blend,C:\Art\Ebee3d\ebee3d_49.blend
2014.08.18-15.05.32,save,104,00:01:44,ebee3d_49.blend,C:\Art\Ebee3d\ebee3d_49.blend
