timestamp (YYYY.MM.DD-HH.MM.SS),event,time (seconds),time (formatted),file name,file path
2014.10.06-10.51.16,save,3188,00:53:08,ebee3d_67.blend,C:\Art\Ebee3d\ebee3d_67.blend
2014.10.06-11.17.11,save,1554,00:25:54,ebee3d_67.blend,C:\Art\Ebee3d\ebee3d_67.blend
2014.10.06-11.37.51,save,1239,00:20:39,ebee3d_67.blend,C:\Art\Ebee3d\ebee3d_67.blend
2014.10.06-11.51.16,save,804,00:13:24,ebee3d_67.blend,C:\Art\Ebee3d\ebee3d_67.blend
2014.10.06-12.41.23,save,3006,00:50:06,ebee3d_67.blend,C:\Art\Ebee3d\ebee3d_67.blend
2014.10.06-15.39.42,load,10699,02:58:19,monster_mid_02.blend,C:\Art\Biomecha Game\Monster\monster_mid_02.blend
2014.10.07-22.00.31,load,0,00:00:00,,
2014.10.07-22.00.48,load,17,00:00:17,monster_mid_02.blend,C:\Art\Biomecha Game\Monster\monster_mid_02.blend
2014.10.07-22.30.55,load,1807,00:30:07,monster_mid_02.blend,C:\Art\Biomecha Game\Monster\monster_mid_02.blend
2014.10.07-22.46.57,save,961,00:16:01,monster_mid_03.blend,C:\Art\Biomecha Game\Monster\monster_mid_03.blend
2014.10.07-22.59.30,save,752,00:12:32,monster_mid_03.blend,C:\Art\Biomecha Game\Monster\monster_mid_03.blend
2014.10.07-23.03.57,save,267,00:04:27,monster_mid_03.blend,C:\Art\Biomecha Game\Monster\monster_mid_03.blend
2014.10.07-23.06.00,save,123,00:02:03,monster_mid_04.blend,C:\Art\Biomecha Game\Monster\monster_mid_04.blend
2014.10.07-23.07.31,save,90,00:01:30,monster_mid_04.blend,C:\Art\Biomecha Game\Monster\monster_mid_04.blend
2014.10.08-11.29.10,load,44499,12:21:39,ebee3d_67.blend,C:\Art\Ebee3d\ebee3d_67.blend
2014.10.08-11.49.45,save,1235,00:20:35,ebee3d_67.blend,C:\Art\Ebee3d\ebee3d_67.blend
2014.10.08-12.19.07,save,1761,00:29:21,ebee3d_67.blend,C:\Art\Ebee3d\ebee3d_67.blend
2014.10.08-13.41.46,load,0,00:00:00,,
2014.10.08-13.41.55,load,9,00:00:09,ebee3d_67.blend,C:\Art\Ebee3d\ebee3d_67.blend
2014.10.08-13.43.36,save,100,00:01:40,ebee3d_68.blend,C:\Art\Ebee3d\ebee3d_68.blend
2014.10.08-13.45.07,save,91,00:01:31,ebee3d_68.blend,C:\Art\Ebee3d\ebee3d_68.blend
2014.10.08-13.47.39,save,151,00:02:31,ebee3d_68.blend,C:\Art\Ebee3d\ebee3d_68.blend
2014.10.08-14.06.08,save,1109,00:18:29,ebee3d_68.blend,C:\Art\Ebee3d\ebee3d_68.blend
2014.10.08-14.20.05,save,836,00:13:56,ebee3d_68.blend,C:\Art\Ebee3d\ebee3d_68.blend
2014.10.08-14.41.16,save,1270,00:21:10,ebee3d_68.blend,C:\Art\Ebee3d\ebee3d_68.blend
2014.10.09-14.08.35,load,0,00:00:00,,
2014.10.09-14.10.48,load,133,00:02:13,ebee3d_68.blend,C:\Art\Ebee3d\ebee3d_68.blend
2014.10.09-15.56.54,load,0,00:00:00,,
2014.10.09-15.57.01,load,6,00:00:06,ebee3d_68.blend,C:\Art\Ebee3d\ebee3d_68.blend
2014.10.09-16.29.58,save,1977,00:32:57,ebee3d_69.blend,C:\Art\Ebee3d\ebee3d_69.blend
2014.10.09-16.33.26,save,207,00:03:27,ebee3d_69.blend,C:\Art\Ebee3d\ebee3d_69.blend
2014.10.09-16.34.07,save,40,00:00:40,ebee3d_69.blend,C:\Art\Ebee3d\ebee3d_69.blend
2014.10.09-16.34.18,load,0,00:00:00,,
2014.10.09-16.34.35,load,16,00:00:16,ebee3d_69.blend,C:\Art\Ebee3d\ebee3d_69.blend
2014.10.09-16.39.28,save,293,00:04:53,ebee3d_69.blend,C:\Art\Ebee3d\ebee3d_69.blend
2014.10.09-16.41.04,save,95,00:01:35,ebee3d_69.blend,C:\Art\Ebee3d\ebee3d_69.blend
2014.10.09-16.42.09,save,65,00:01:05,ebee3d_69.blend,C:\Art\Ebee3d\ebee3d_69.blend
2014.10.09-17.11.33,load,0,00:00:00,,
2014.10.09-17.11.37,load,3,00:00:03,ebee3d_69.blend,C:\Art\Ebee3d\ebee3d_69.blend
2014.10.09-17.13.04,save,86,00:01:26,ebee3d_69.blend,C:\Art\Ebee3d\ebee3d_69.blend
2014.10.09-17.35.06,load,0,00:00:00,,
2014.10.09-17.35.08,load,2,00:00:02,ebee3d_69.blend,C:\Art\Ebee3d\ebee3d_69.blend
2014.10.09-18.03.12,save,1683,00:28:03,ebee3d_69.blend,C:\Art\Ebee3d\ebee3d_69.blend
2014.10.10-11.07.55,load,0,00:00:00,,
2014.10.10-11.08.01,load,6,00:00:06,ebee3d_69.blend,C:\Art\Ebee3d\ebee3d_69.blend
2014.10.10-11.26.13,save,1091,00:18:11,ebee3d_69.blend,C:\Art\Ebee3d\ebee3d_69.blend
2014.10.10-11.48.05,save,1311,00:21:51,ebee3d_70.blend,C:\Art\Ebee3d\ebee3d_70.blend
2014.10.10-11.59.27,save,682,00:11:22,ebee3d_70.blend,C:\Art\Ebee3d\ebee3d_70.blend
2014.10.10-12.49.26,save,2999,00:49:59,ebee3d_70.blend,C:\Art\Ebee3d\ebee3d_70.blend
2014.10.10-13.02.18,save,771,00:12:51,ebee3d_70.blend,C:\Art\Ebee3d\ebee3d_70.blend
2014.10.10-13.02.50,save,31,00:00:31,ebee3d_70.blend,C:\Art\Ebee3d\ebee3d_70.blend
2014.10.10-13.12.25,save,574,00:09:34,ebee3d_70.blend,C:\Art\Ebee3d\ebee3d_70.blend
2014.10.11-19.47.46,save,23721,06:35:21,ebee3d_70.blend,C:\Art\Ebee3d\ebee3d_70.blend
2014.10.11-20.19.17,load,0,00:00:00,,
2014.10.11-20.21.18,load,0,00:00:00,,
2014.10.11-20.26.10,load,0,00:00:00,,
2014.10.11-20.26.25,load,14,00:00:14,ebee3d_70.blend,C:\Art\Ebee3d\ebee3d_70.blend
2014.10.11-20.26.33,load,8,00:00:08,,
2014.10.11-20.28.28,load,0,00:00:00,,
2014.10.11-20.28.34,load,6,00:00:06,,
2014.10.11-20.30.02,load,0,00:00:00,,
2014.10.11-20.34.38,load,0,00:00:00,,
2014.10.11-20.45.37,load,658,00:10:58,,
2014.10.11-21.28.33,load,0,00:00:00,,
2014.10.11-21.28.48,load,0,00:00:00,,
2014.10.11-21.29.10,load,0,00:00:00,,
2014.10.11-22.28.17,load,3546,00:59:06,monster_mid_04.blend,C:\Art\Biomecha Game\Monster\monster_mid_04.blend
2014.10.11-22.50.27,save,1329,00:22:09,monster_mid_05.blend,C:\Art\Biomecha Game\Monster\monster_mid_05.blend
2014.10.11-22.50.31,load,4,00:00:04,,
2014.10.11-22.52.11,load,99,00:01:39,monster_mid_05.blend,C:\Art\Biomecha Game\Monster\monster_mid_05.blend
2014.10.11-23.56.36,save,3864,01:04:24,monster_mid_05.blend,C:\Art\Biomecha Game\Monster\monster_mid_05.blend
2014.10.11-23.59.46,save,190,00:03:10,monster_mid_05.blend,C:\Art\Biomecha Game\Monster\monster_mid_05.blend
2014.10.12-00.03.08,save,201,00:03:21,monster_mid_05.blend,C:\Art\Biomecha Game\Monster\monster_mid_05.blend
2014.10.12-00.09.48,load,0,00:00:00,,
2014.10.12-00.10.02,load,13,00:00:13,monster_mid_05.blend,C:\Art\Biomecha Game\Monster\monster_mid_05.blend
2014.10.12-00.31.57,save,1315,00:21:55,monster_mid_05.blend,C:\Art\Biomecha Game\Monster\monster_mid_05.blend
2014.10.12-00.42.35,save,638,00:10:38,monster_mid_05.blend,C:\Art\Biomecha Game\Monster\monster_mid_05.blend
